fold,bestDim,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,none,0.002932551319648094,0.0019550342130987292,0.002346041055718475,0.002346041055718475,0.002932551319648094,0.005865102639296188,0.011730205278592375,0.02346041055718475,0.002932551319648094,0.0032583903551645487,0.003910068426197459,0.00426552919221541,0.002932551319648094,0.0039100684261974585,0.0052297165200391,0.006707629288274449,0.511695792212044
2,none,0.005865102639296188,0.002932551319648094,0.0035190615835777126,0.0029325513196480934,0.005865102639296188,0.008797653958944282,0.017595307917888565,0.02932551319648094,0.005865102639296188,0.004887585532746823,0.005865102639296189,0.005331911490269263,0.005865102639296188,0.006842619745845551,0.008748778103616814,0.010194106968300518,0.5146237055026712
3,none,0.0029239766081871343,0.004873294346978557,0.0035087719298245615,0.004385964912280702,0.0029239766081871343,0.014619883040935672,0.017543859649122806,0.043859649122807015,0.0029239766081871343,0.008122157244964262,0.00584795321637427,0.007974481658692184,0.0029239766081871343,0.007309941520467836,0.00804093567251462,0.0116460131811009,0.5218660186202382
4,none,0.002976190476190476,0.003968253968253968,0.004166666666666667,0.0023809523809523807,0.002976190476190476,0.011904761904761904,0.020833333333333332,0.023809523809523808,0.002976190476190476,0.006613756613756614,0.006944444444444446,0.00432900432900433,0.002976190476190476,0.00744047619047619,0.009523809523809525,0.009854497354497355,0.5118849269317375
5,none,0.004143646408839779,0.002302025782688766,0.0019337016574585634,0.002209944751381215,0.004143646408839779,0.006906077348066298,0.009668508287292817,0.022099447513812154,0.004143646408839779,0.00383670963781461,0.0032228360957642726,0.004018081366147665,0.004143646408839779,0.0055248618784530384,0.006215469613259668,0.007696439533456108,0.5110170451574673
6,none,0.0,0.0037348272642390287,0.00392156862745098,0.0030812324929971983,0.0,0.011204481792717087,0.0196078431372549,0.03081232492997199,0.0,0.006224712107065048,0.006535947712418303,0.005602240896358544,0.0,0.0042016806722689065,0.006162464985994397,0.00760192966075319,0.5153664114652484
7,none,0.0,0.0037243947858473,0.0033519553072625698,0.0025139664804469273,0.0,0.0111731843575419,0.01675977653631285,0.025139664804469275,0.0,0.006207324643078833,0.005586592178770951,0.004570848146267141,0.0,0.004655493482309124,0.006052141527001862,0.007060831781502172,0.5125398727596355
8,latitude,0.0,0.001990049751243781,0.0017910447761194032,0.002388059701492537,0.0,0.005970149253731343,0.008955223880597015,0.023880597014925373,0.0,0.0029850746268656717,0.0029850746268656717,0.004341926729986432,0.0,0.0029850746268656717,0.003582089552238806,0.005708362947168918,0.5119225159022149
9,none,0.006060606060606061,0.007070707070707069,0.004545454545454544,0.0031818181818181815,0.006060606060606061,0.021212121212121213,0.022727272727272728,0.031818181818181815,0.006060606060606061,0.011784511784511783,0.007575757575757577,0.005785123966942149,0.006060606060606061,0.012121212121212121,0.0125,0.013594276094276093,0.515878691372322
10,none,0.002881844380403458,0.0019212295869356388,0.002881844380403458,0.0025936599423631124,0.002881844380403458,0.005763688760806916,0.01440922190201729,0.025936599423631124,0.002881844380403458,0.0032020493115593983,0.004803073967339098,0.004715745349751115,0.002881844380403458,0.0038424591738712775,0.005859750240153698,0.007432185169937331,0.5129335897002608
